,tweet
40,"b'RT @sergiorochoa: No es algo wow pero siempre quise hacer esto con el amor de mi vida, y hoy lo hice conmigo mismo ( mi soledad, mi m\xc3\xbasica\xe2\x80\xa6'"
41,b'RT @andrealtahonam: A esta edad sufrimos m\xc3\xa1s por plata que por amor. Confirmo.'
42,"b'@xmoonlightb0y Sabes qu\xc3\xa9? Te puedes seguir riendo de EIounor por que mientras tu te r\xc3\xades, El y Iou est\xc3\xa1n haciendo e\xe2\x80\xa6 https://t.co/W0aXFv5y64'"
43,b'RT @infopresidencia: #20DeJulio | Esta es una fecha que nos llena de orgullo. Hoy las banderas se mueven al ritmo del himno nacional y del\xe2\x80\xa6'
44,"b'RT @KINGSBTS7: \xe2\x80\x9cMoon se ha disparado incre\xc3\xadblemente en los charts y directo a los corazones de ARMY, la canci\xc3\xb3n atraviesa el mundo de las m\xe2\x80\xa6'"
45,b'Te amo y te prometo que nada ni nadie va a separarnos y que pase lo que pase mi amor por ti nunca cambiar\xc3\xa1. Te amo\xe2\x80\xa6 https://t.co/05G2qHKZ8z'
46,"b'@bwsvol6 @sunfloweragus amor te lo mereces, las dos se lo merecen, las adoro'"
47,"b'RT @PartidoPSUV: Mientras el imperialismo sigue promoviendo su odio por los pa\xc3\xadses libres del mundo, en Venezuela se despliegan pol\xc3\xadticas s\xe2\x80\xa6'"
48,b'RT @cjshoter: Cosas muy importante que todos deben saber antes de vivir con su pareja.\n\n1- No se folla a diario\n2- Debes aprender a querer\xe2\x80\xa6'
49,"b'Te mereces felicidad, mereces amor, mereces lo mejor porque eres valioso y no puedes esperar menos que eso.\xf0\x9f\xa5\xb0'"
50,"b'RT @nicolasgarciab: Al sol y al agua y en cualquier circunstancia, campesinos y mensajes como este nos demuestran lo gratificante que es co\xe2\x80\xa6'"
51,b'@FlorParque Nunca se va a apagar el \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 mi amor\xf0\x9f\x92\x8b\xf0\x9f\x92\x8b\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
52,b'Prometo que despu\xc3\xa9s de esta pandemia vivir\xc3\xa9 demostr\xc3\xa1ndole mi amor a los m\xc3\xados hasta el \xc3\xbaltimo respiro y lograr una vida sin remordimientos.'
53,"b'Dicen que fumar\nEs da\xc3\xb1ino pero,\n\xc2\xbfHas probado el amor? https://t.co/skQbAwg9lf'"
