,tweet
165,"b'Conmemoramos el natalicio de #NatalieWood, la bella diva de origen ruso naci\xc3\xb3 el 20 de julio de 1938 y muri\xc3\xb3 en 198\xe2\x80\xa6 https://t.co/mjLdPNASpo'"
166,"b'RT @CheNetflix: \xc2\xbfHasta d\xc3\xb3nde llega el amor de una madre por su hijo? Cr\xc3\xadmenes de familia, una pel\xc3\xadcula argentina protagonizada por Cecilia\xe2\x80\xa6'"
167,b'RT @lunaypr1: Quiero tener un amor sin contrato \xf0\x9f\x96\xa4\xf0\x9f\x98\x88'
168,b'@kooovely @BTS_twt Gracias amor'
169,b'RT @Claudia89768497: @Ariadne64517004 jimin pr\xc3\xadncipe\njimin angel\njimin pretty\njimin dulce \njimin delicado\njimin el amor de mi vida \njimin e\xe2\x80\xa6'
170,b'RT @nicolas_aveiro7: Yo Plata y suerte en el amor nunca luego tengo jajajajajajajas'
171,b'@ErwingPy Yo jam\xc3\xa1s hubiera sobrevivido esos a\xc3\xb1os sin vos. La verdad que el a\xc3\xb1o m\xc3\xa1s dif\xc3\xadcil fue ese \xc3\xbaltimo que no es\xe2\x80\xa6 https://t.co/iHDd6I1ge9'
172,b'@macapineiro Le hice la carpa a una amiga que se iba a encontrar con el amor de su vida la noche antes que el flaco\xe2\x80\xa6 https://t.co/2qTDJCGYXA'
173,b'RT @Ganaza50: seria mucho pedirte\nre\xc3\xadr mucho\nlargas charlas\ntazas de caf\xc3\xa9\nbuen sexo\ny el amor tranquilo ?'
174,"b'RT @Satinest: Nivel de hype, de estr\xc3\xa9s, de amor, de nervios, de locura y de ternura... Todo mezclaito. \n\nPOR FIN PARIS https://t.co/mhN3H0U\xe2\x80\xa6'"
175,"b'RT @Kaarlaacarrill: El amor que das regresa a ti, en otro tiempo, en otra persona, o en otras circunstancias, pero siempre regresa.'"
176,b'@_alwaysbin viste soy un amor aveces'
177,"b'RT @IvanDuque: Hoy exaltamos la dedicaci\xc3\xb3n de integrantes de la Fuerza P\xc3\xbablica que, adem\xc3\xa1s de velar por la seguridad y la integridad de los\xe2\x80\xa6'"
178,"b'RT @Rey_Misterio___: Ya nos vi mi amor, tu sac\xc3\xa1ndome del bar en el que este \xf0\x9f\x98\x85\xf0\x9f\xa4\xa3\xf0\x9f\x8d\xbb https://t.co/mGM6KsJlX8'"
179,"b'Toda herramienta en manos del ser humano puede servir para construir o destruir. Tambi\xc3\xa9n podemos incluir el amor, e\xe2\x80\xa6 https://t.co/r0gInU8HTY'"
180,b'@jsivarela Ahora le falta el de carne amor'
181,b'RT @akaferxu: FAV y os digo si os vais a morir solos o con el amor de tu vida'
182,b'RT @sofiperez98: Yo creo que mis amigas no dimensionan EL NIVEL de amor que les tengo'
183,"b'RT @gabrielaloozano: Ay mi vida, no puedo expresar tanto orgullo que tengo de vos. No entiendo como la gente te puede odiar si sos un amor\xe2\x80\xa6'"
184,b'RT @IssaRivera29: Me merezco el amor que sigo tratando de dar'
185,"b'@DuglasPalmar2 El amor nace para todos, simplemente no te ha llegado, si no es , lo mejor es que siga, ya llegar\xc3\xa1 quien valore.'"
186,"b'Ya quiero salir del trabajo y ponerme a ver Betty la fea con el amor de mi vida, lejos de este ambiente t\xc3\xb3xico \xf0\x9f\x98\xab'"
187,b'RT @avelinosalazar7: BUENOS D\xc3\x8dAS MIS QUERIDOS GUERREROS DEL D\xc3\x8dA A D\xc3\x8dA LES DESEO QUE TENGA UN FELIZ INICIO DE SEMANA LLENO DE AMOR Y PAZ. TE\xe2\x80\xa6'
188,"b'RT @IvanDuque: Hoy exaltamos la dedicaci\xc3\xb3n de integrantes de la Fuerza P\xc3\xbablica que, adem\xc3\xa1s de velar por la seguridad y la integridad de los\xe2\x80\xa6'"
189,"b'RT @tinyhoppie: Si el Taekook no es real, entonces hemos creado la mejor historia de amor. https://t.co/muiM8cXiR8'"
190,b'RT @catsjdr: sigo creyendo en el amor por mi manera d kerer porke si m kedo con como me han kerido a m\xc3\xad estas k vuelvo a creer'
191,b'RT @RguezzAle: encontrar amor y amistad en la misma persona es ganar en la vida.'
192,"b'@cutiebinftie como q a nadie le importa\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1\xf0\x9f\x98\xa1 si te sientes mal y necesitas hablar cn alguien sabes q aqu\xc3\xad estoy para t\xc3\xad, amor:('"
193,"b'Estamos tan emocionadas con mis amigas por vernos, na esto es amor\xe2\x99\xa1'"
194,"b'~ @hopelessemi ~\n\nque feliz soy de tenerte en mi vida, que feliz me haces, que bien me haces. no me alcanza la vida\xe2\x80\xa6 https://t.co/KSZqpQK83f'"
195,"b'RT @LaCamadaNitinMx: #FelizLunes de abrir tu \xe2\x9d\xa4\xef\xb8\x8f, #AdoptaUnNitino abuelito. Haz que sus \xc3\xbaltimos d\xc3\xadas est\xc3\xa9n rodeados de amor #AdoptaNoCompres\xe2\x80\xa6'"
196,b'RT @LaCumbita_: Muy a favor de absolutamente todos los d\xc3\xadas comerciales habidos y por haber sobretodo para hacerle sentir a los que queremo\xe2\x80\xa6'
197,"b'@MayraRA77170661 ashh espeeo hayas tenido un cumple bonito, llena de mucho amor, pastel y regalos'"
198,b'@natiibedoya Tienes un amor ciego al #matarife peque\xc3\xb1a algo gritona'
199,b'Mi felicidad est\xc3\xa1 en todos los mensajes que recib\xc3\xad hoy. El amor de amigos te salva \xe2\x9d\xa4\xef\xb8\x8f decir GRACIAS queda chico!'
200,"b'RT @DelMarR_V: Feliz d\xc3\xada, amigas de mi vida. Para ustedes son todas las canciones de amor. https://t.co/EPu98kIlIg'"
201,"b'RT @cityoran: Un d\xc3\xada una amiga me estaba contando su historia de amor que nunca funcion\xc3\xb3, la escuche y lo dijo con tanto sentimiento que me\xe2\x80\xa6'"
202,b'RT @SolSef: Que lo que te haga volver sea el amor y no la costumbre'
203,b'@yunholofi suerte amor'
204,b'RT @macapineiro: Aprovechemos el d\xc3\xada para recordar lo m\xc3\xa1s grande que hicieron por unx amigx. Yo le saqu\xc3\xa9 a una amiga un tamp\xc3\xb3n al que se le\xe2\x80\xa6'
205,"b'RT @fkkcupid: \xc2\xa1hola! soy cupido y estoy ac\xc3\xa1 para lo que necesites, \xc2\xbfquieres encontrar pareja? te puedo ayudar, ac\xc3\xa1 puedes hacer declaracion\xe2\x80\xa6'"
206,b'@imprintcabello HOLA JOSE AMOR'
207,b'@edushinoda @ChesterBe Ay Edu...me parte tanto el alma hoy \xf0\x9f\x98\xa3 Quisiera poder estar junto a vos como aquella vez que\xe2\x80\xa6 https://t.co/slMHhi8m8r'
208,"b'RT @anuelaaworld: El amor a veces se puede ocultar, la indiferencia nunca.'"
209,"b'RT @Kaarlaacarrill: El amor que das regresa a ti, en otro tiempo, en otra persona, o en otras circunstancias, pero siempre regresa.'"
210,"b'RT @FuerzasMilCol: Nuestra bandera, s\xc3\xadmbolo de amor y entrega por #Colombia. Por eso los soldados aviadores rendimos un homenaje a estos 21\xe2\x80\xa6'"
211,b'RT @sikkaria: amor es cuando luis y yo llegamos a las tantas a casa de una fiesta nos metemos en la cama y me dice \xe2\x80\x9cno te vas a desmaquilla\xe2\x80\xa6'
212,"b'RT @TyCSports: ""AY AMOR\xe2\x80\x9d \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\nEl pedido especial del Burrito Ortega en la apertura de @Liberotyc. https://t.co/yxJU9l6rkh'"
213,b'RT @amilcarivan: #lunanueva para hacer esta #oraci\xc3\xb3n de limpieza: \nLibero las energ\xc3\xadas que vibran abajo del amor. Libero mi mente y mi cuer\xe2\x80\xa6'
214,b'RT @sikkaria: amor es cuando luis y yo llegamos a las tantas a casa de una fiesta nos metemos en la cama y me dice \xe2\x80\x9cno te vas a desmaquilla\xe2\x80\xa6'
215,"b'En la atracci\xc3\xb3n, amor no https://t.co/gHcgZgeRO1'"
216,"b'RT @CROmdbCREW: Si no sabes darlo, entonces tampoco lo pidas. Estoy hablando de un abrazo, del amor, del respeto y del perd\xc3\xb3n.'"
217,b'4984930 todo mi amor te entrego'
218,b'RT @Mel_Medrano10: Camilo fue novio de Evaluna mucho tiempo y ahora que son esposos \xc3\xa9l sigue demostrandole su amor como desde el primer d\xc3\xada\xe2\x80\xa6'
219,"b'RT @SolyMar66091744: Dios todopoderoso\nCon humildad vengo ante tu presencia y te pido\ntengas piedad, escucha nuestras s\xc3\xbaplicas.\nTe pedimos\xe2\x80\xa6'"
220,b'No me hables de amor el amor de mi vida son mis hijos y todav\xc3\xada no tengo hijos'
221,b'RT @RguezzAle: encontrar amor y amistad en la misma persona es ganar en la vida.'
222,"b'RT @qoldenhoran: hace todo lo posible para entretenernos, se hizo youtuber, tiktoker, hizo un show online no solo con el fin de entretener,\xe2\x80\xa6'"
223,"b'@JorgeGomezOrtiz @BisouCaramel A Wuebo el Finado Ruquito Compaye, un virtuoso...se rifaba el Abuelo... Herido de Amor inche Rolita...'"
224,b'@Sori_2214 El amor a distancia y yo no somos frenes\xf0\x9f\x98\xaa m\xc3\xbademonos juntos despu\xc3\xa9s de cuarentena'
225,"b'RT @Gatos_y_Perros: La Felicidad entra en nuestras vidas cuando tenemos algo que hacer, algo de amor y esperanza...\xf0\x9f\x8c\xb7\xf0\x9f\x92\x97 https://t.co/F5ZGqTE2\xe2\x80\xa6'"
226,"b'RT @IvanDuque: Hoy exaltamos la dedicaci\xc3\xb3n de integrantes de la Fuerza P\xc3\xbablica que, adem\xc3\xa1s de velar por la seguridad y la integridad de los\xe2\x80\xa6'"
227,"b'RT @_Always_You_Lou: Te mereces que todo el mundo escuche tu voz, te amamos Liam. Gracias por tanto amor, por tu voz, por tu talento y por\xe2\x80\xa6'"
228,b'RT @DelaCampaRDFiel: Estoy que estornudo confeti\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d @CHRISDELACAMPA \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d. Qu\xc3\xa9 emoci\xc3\xb3n mi amor \n#VencerElDesamor \n#CampanitasFieles https://t\xe2\x80\xa6'
229,"b'RT @TyCSports: ""AY AMOR\xe2\x80\x9d \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\nEl pedido especial del Burrito Ortega en la apertura de @Liberotyc. https://t.co/yxJU9l6rkh'"
230,b'RT @crispinavilla: @roures1 @AlapePastorFARC @UrbanoRico1 @FdoQuijano @hernanmiraf @iconoclasta2013 Siempre valdr\xc3\xa1 la pena soltar un fusil\xe2\x80\xa6'
231,b'RT @adriherrera10_h: nombres que es ese cast??? \xc3\xb3sea ya \xc3\x89lite no va a ser igual... solo rescato que metieron a Manu R\xc3\xados guapo mi amor http\xe2\x80\xa6'
232,b'RT @lunaypr1: Quiero tener un amor sin contrato \xf0\x9f\x96\xa4\xf0\x9f\x98\x88'
233,"b'@pabacsama @Cooperativa Pobre Jose es un comediante incomprendido, si el solo entrega amor'"
234,"b'RT @Edisu_Cristi: Padre: El amor, criatura.\nG: \xc2\xa1A quien le importa el amor, padre!\nPadre: Yo te amo, tu e amas?\nG: Claro, padre.\nPadre: Pue\xe2\x80\xa6'"
235,"b'@tuviejaxok Amor yo te amo, quiero que vuelvas a m\xc3\xad lado'"
236,b'RT @irene_domingz: La mejor declaraci\xc3\xb3n de amor que he visto nunca. https://t.co/Lmxv1HW0RI'
237,"b'RT @0vejer0: Se necesita mucho amor, para que te rompan; y trates de entenderlo...'"
238,"b'RT @JK_Peru: Cuando Euphoria supere las 150M de reproducciones, ser\xc3\xa1 el primer solo de un idol masculino \xf0\x9f\x87\xb0\xf0\x9f\x87\xb7 en lograrlo \xe2\x99\xa1\n\n\xc3\x9ananse a la cele\xe2\x80\xa6'"
239,b'RT @RguezzAle: encontrar amor y amistad en la misma persona es ganar en la vida.'
240,"b'RT @literlandweb1: ""Qu\xc3\xa9 f\xc3\xa1cil callar, ser serena y objetiva con los seres que no me interesan verdaderamente, a cuyo amor o amistad no aspi\xe2\x80\xa6'"
241,"b'RT @andoentrelibros: \xe2\x80\x9cLa distancia no es un problema. El problema somos los humanos, que no sabemos amar sin tocar, sin ver o escuchar. Y e\xe2\x80\xa6'"
242,"b'RT @Rey_Misterio___: Ya nos vi mi amor, tu sac\xc3\xa1ndome del bar en el que este \xf0\x9f\x98\x85\xf0\x9f\xa4\xa3\xf0\x9f\x8d\xbb https://t.co/mGM6KsJlX8'"
243,b'RT @soysoff__: Amor de mi vida \xc2\xbfDONDE ESTAASSS?'
244,b'RT @RguezzAle: encontrar amor y amistad en la misma persona es ganar en la vida.'
245,"b'no puedo creer lo de stormie, esper\xc3\xb3 que se recupere y ella sabe que tiene el amor de su familia y nosotros debemos\xe2\x80\xa6 https://t.co/bwCTwzEc8F'"
246,b'RT @nicolnmedina23: Porque estoy acostada viendo redes y no haciendo el amor ya mismoooooo\xf0\x9f\x98\xa3\xf0\x9f\x98\xa3'
247,b'igual tengo una relaci\xc3\xb3n de amor odio con dazai tipo kiero q me ahorque pero al mismo tiempo grr no se i hate him'
248,"b'RT @IvanDuque: Hoy exaltamos la dedicaci\xc3\xb3n de integrantes de la Fuerza P\xc3\xbablica que, adem\xc3\xa1s de velar por la seguridad y la integridad de los\xe2\x80\xa6'"
249,b'@luvitwo En realidad sigo escuchando rock/metal y est\xc3\xa1 a la par con m\xc3\xad amor al kpop \xe2\x9d\xa4\xef\xb8\x8f'
